Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
smug		Their eyes sparkle with arrogance.			
smug		The posture is relaxed and assured.			
smug		They are standing tall and upright.			
smug		The smile suggests they know something.			
smug		They appear to be pleased with themselves.			
preachy		The person is preaching to the crowd.			
preachy		They are sharing a message of hope.			
preachy		The audience looks attentive and engaged.			
preachy		The preacher speaks with passion.			
preachy		They are reciting verses from the gospel.			
preachy		The atmosphere feels earnest and sincere.			
preachy		The preacher gestures to emphasize their points.			
preachy		Some listeners nod in agreement.			
preachy		The message is about forgiveness and redemption.			
preachy		The sermon encourages people to reflect on their lives.			
running away		The person is running fast.			
running away		They look scared or worried.			
running away		The scene feels tense.			
running away		There is a sense of urgency.			
running away		The person is fleeing the area.			
running away		Their feet are moving quickly.			
running away		They are looking back over their shoulder.			
running away		The background is blurred.			
running away		This is a hasty retreat.			
running away		The person wants to escape.			
snake charming		This person is charming a snake.			
snake charming		He is with the snake.			
snake charming		The snake is moving quietly.			
snake charming		He is handling the snake safely.			
snake charming		People are paying attention to him.			
snake charming		The snake is a dangerous animal.			
snake charming		He has skills in handling snakes.			
snake charming		Charming a snake is an interesting activity.			
snake charming		He might be selling snake oil.			
snake charming		Interacting with snakes is fun.			
smirking		He has a cheeky smile.			
smirking		She is smirking playfully.			
smirking		His expression is mischievous.			
smirking		She looks confident and cheeky.			
smirking		He is enjoying a funny moment.			
smirking		She has a teasing grin.			
smirking		His smirk shows he knows a secret.			
smirking		She looks like she’s up to something.			
smirking		He has a playful attitude.			
smirking		She is smiling with a hint of mischief.			
sneering		The person is sneering.			
sneering		He is mocking someone else.			
sneering		A laughing expression is visible.			
sneering		His eyes seem to be sarcastic.			
sneering		The person looks confident.			
sneering		He seems to enjoy others' mistakes.			
sneering		He can't hold back his laughter.			
sneering		The situation seems funny.			
sneering		This expression can be unpleasant.			
sneering		We all have experienced something like this.			
looking in mirror		The person is looking in the mirror.			
looking in mirror		They are blowdrying their hair.			
looking in mirror		The mirror reflects their image.			
looking in mirror		The blowdryer is in their hand.			
looking in mirror		Their hair is getting dry.			
looking in mirror		The person looks focused.			
looking in mirror		The bathroom has good lighting.			
looking in mirror		They are preparing for the day.			
looking in mirror		The mirror shows their hairstyle.			
looking in mirror		Blowdrying makes hair look nice.			
falling		The person is falling backwards.			
falling		They look surprised and off-balance.			
falling		The ground is coming closer.			
falling		Their arms are flailing in the air.			
falling		It seems like they lost their footing.			
falling		Someone might have pushed them.			
falling		The fall looks sudden and unexpected.			
falling		They are about to hit the ground.			
falling		This could be a funny moment.			
falling		Falling can happen to anyone!			
creating		This person has many ideas.			
creating		They are full of suggestions.			
creating		Look at their bright expression.			
creating		They are thinking creatively.			
creating		Ideas are flowing from them.			
creating		They enjoy sharing their thoughts.			
creating		Their mind is very active.			
creating		They inspire others with their ideas.			
creating		This is a brainstorming session.			
creating		Creativity is important for problem-solving.			
holding whirlwind		The person is creating a whirlwind.			
holding whirlwind		The whirlwind is spinning quickly.			
holding whirlwind		Look at the swirling wind!			
holding whirlwind		The person seems powerful.			
holding whirlwind		The whirlwind lifts leaves into the air.			
holding whirlwind		This scene looks magical.			
holding whirlwind		The person is focused on the whirlwind.			
holding whirlwind		The wind is strong and energetic.			
holding whirlwind		Can you feel the movement?			
holding whirlwind		The whirlwind is full of energy.			
open arms		This person is welcoming others with open arms.			
open arms		They have a friendly smile on their face.			
open arms		Open arms show kindness and warmth.			
open arms		The person seems open-minded and accepting.			
open arms		They are ready to embrace new ideas.			
open arms		This gesture invites people to come closer.			
open arms		Open arms can make others feel safe.			
open arms		The person is showing they are approachable.			
open arms		A warm welcome can create a positive atmosphere.			
open arms		Being open-minded helps us learn from others.			
cold shoulder		The person has no interest in me.			
cold shoulder		He speaks in a cold tone.			
cold shoulder		She seems to be ignoring me.			
cold shoulder		He is turning his back on me.			
cold shoulder		Her expression looks indifferent.			
cold shoulder		He is not participating in the conversation.			
cold shoulder		She is not looking at me.			
cold shoulder		He reacts coldly to me.			
cold shoulder		She is hiding her feelings.			
cold shoulder		He seems indifferent about our relationship.			
kneeling		The person is kneeling down.			
kneeling		He is bowing deeply.			
kneeling		He is begging for forgiveness.			
kneeling		His expression is serious.			
kneeling		He wants to apologize.			
kneeling		Kneeling is a sign of respect.			
kneeling		Bowing is a traditional greeting in Korea.			
kneeling		Forgiveness is an important value.			
kneeling		He is opening his heart.			
kneeling		This moment is emotional.			
holding globe		This person is holding a globe.			
holding globe		The globe shows our planet, Earth.			
holding globe		The Earth has many countries and oceans.			
holding globe		The map helps us find places.			
holding globe		This person is exploring the world.			
holding globe		The globe is round like the Earth.			
holding globe		Maps can be flat or 3D.			
holding globe		The person is learning about geography.			
holding globe		The globe can spin to show different areas.			
holding globe		Exploring maps and globes is fun!			
drowning		The person is in deep water.			
drowning		They are struggling to stay afloat.			
drowning		Their arms are waving for help.			
drowning		The water is very dark.			
drowning		There are bubbles around them.			
drowning		Their face shows fear.			
drowning		They are gasping for air.			
drowning		The waves are strong.			
drowning		Someone should help them.			
drowning		Drowning is very dangerous.			
gesturing wildly		The person is excited.			
gesturing wildly		They are using their hands a lot.			
gesturing wildly		Their arms are moving up and down.			
gesturing wildly		The expression on their face is intense.			
gesturing wildly		They seem to be telling a story.			
gesturing wildly		The gestures are very dramatic.			
gesturing wildly		The person looks passionate.			
gesturing wildly		Their body language is animated.			
gesturing wildly		They might be trying to emphasize a point.			
gesturing wildly		The scene feels lively and energetic.			
signing		The person is signing a contract.			
signing		They are holding a pen.			
signing		The contract is on the table.			
signing		The person looks focused.			
signing		Signing is an important step.			
signing		They are agreeing to the terms.			
signing		The pen is blue.			
signing		The paper is white.			
signing		This is a legal document.			
signing		The person is ready to commit.			
renting		The person is renting an apartment.			
renting		They are holding keys in their hand.			
renting		The keys are for their new home.			
renting		The apartment is in a nice location.			
renting		They are excited about moving in.			
renting		The person has signed the lease.			
renting		The keys are shiny and new.			
renting		They will decorate the apartment soon.			
renting		This is a big step for them.			
renting		The person is happy to start a new chapter.			
leaving		The person is packing a suitcase.			
leaving		They are getting ready to leave.			
leaving		The suitcase is big and black.			
leaving		They look happy to travel.			
leaving		The person is checking their bag.			
leaving		They have a ticket in their hand.			
leaving		The door is open for them to go.			
leaving		They are saying goodbye to someone.			
leaving		The weather looks nice outside.			
leaving		The adventure is about to begin.			
interrupting		The person is raising their hand.			
interrupting		They want to speak.			
interrupting		This is an interruption.			
interrupting		It is a point of order.			
interrupting		The discussion is paused.			
interrupting		Others are listening carefully.			
interrupting		The speaker looks surprised.			
interrupting		It is important to follow rules.			
interrupting		Everyone should have a chance to speak.			
interrupting		Communication is key in meetings.			
neutral		The person is sitting quietly.			
neutral		They are looking at the sky.			
neutral		The sun is shining brightly.			
neutral		There are clouds in the sky.			
neutral		The person seems relaxed.			
neutral		They have a book in their hands.			
neutral		The person is enjoying the moment.			
neutral		Birds are flying above.			
neutral		The scene is peaceful and calm.			
neutral		Time feels slow in this place.			
spiky		The person looks prickly today.			
spiky		They are crossing their arms.			
spiky		Their expression seems sharp.			
spiky		The comments they make are barbed.			
spiky		They don't seem very friendly.			
spiky		Others might feel uncomfortable around them.			
spiky		Their mood is spiky and tense.			
spiky		It’s hard to talk to them right now.			
spiky		They might need some space.			
spiky		Let's wait for them to relax.			
progressive		The person is confident.			
progressive		They are making a decision.			
progressive		Their expression is focused.			
progressive		They look determined.			
progressive		The background is bright.			
progressive		They stand tall and proud.			
progressive		Their posture shows strength.			
progressive		The person is a leader.			
progressive		They embrace new ideas.			
progressive		Change is important to them.			
judging		The person is in a formal setting.			
judging		They are wearing a black robe.			
judging		The room is quiet and focused.			
judging		A gavel is on the table.			
judging		The person looks serious and thoughtful.			
judging		They are addressing an audience.			
judging		The judgment is important.			
judging		Everyone is listening carefully.			
judging		The atmosphere is tense.			
judging		Justice is being served.			
swimming		The person is swimming in the water.			
swimming		They are wearing a swimsuit.			
swimming		The water is blue and clear.			
swimming		The sun is shining brightly.			
swimming		The person is enjoying the swim.			
swimming		They are splashing water around.			
swimming		The swimmer is using strong strokes.			
swimming		There are waves in the water.			
swimming		The person looks happy and relaxed.			
swimming		Swimming is great exercise.			
infantile		The person is acting like a baby.			
infantile		They have a cute, innocent smile.			
infantile		Their eyes are wide with wonder.			
infantile		They are playing with toys.			
infantile		The person is lying on the floor.			
infantile		They make funny noises.			
infantile		The expression is joyful and carefree.			
infantile		They are surrounded by soft blankets.			
infantile		It looks like they are having fun.			
infantile		The scene feels warm and playful.			
childish		The person is playing with toys.			
childish		They look very happy and carefree.			
childish		It feels like they are a child again.			
childish		Childhood memories are special.			
childish		Playing is important at any age.			
childish		The person is smiling brightly.			
childish		They are enjoying simple pleasures.			
childish		Childish behavior can be fun.			
childish		It's nice to relive happy moments.			
childish		Everyone should embrace their inner child.			
opening can		The person is using a can opener.			
opening can		The can opener is a tool.			
opening can		The can is made of metal.			
opening can		The person holds the can in one hand.			
opening can		The can opener is attached to the can.			
opening can		The lid is being cut open.			
opening can		The person looks focused.			
opening can		There is food inside the can.			
opening can		The can opener has a sharp blade.			
opening can		The person is opening the can carefully.			
slopping		This person is carrying a bucket.			
slopping		The bucket is full of water.			
slopping		The person looks focused.			
slopping		They are outside.			
slopping		The weather seems nice.			
slopping		The bucket is heavy.			
slopping		The person is strong.			
slopping		They are slopping out waste.			
slopping		The ground is wet.			
slopping		This task is important.			
high fiving		This person is raising their hand.			
high fiving		They are giving a high five.			
high fiving		A high five is a friendly gesture.			
high fiving		The person looks happy.			
high fiving		Their hand is open.			
high fiving		High fives are often used to celebrate.			
high fiving		This gesture shows excitement.			
high fiving		The person is reaching out to someone.			
high fiving		High fives can be used among friends.			
high fiving		It’s a fun way to greet someone!			
attracting		This person is very attractive.			
attracting		They have a magnetic personality.			
attracting		People are drawn to their energy.			
attracting		Their smile is captivating.			
attracting		They exude confidence and charm.			
attracting		The way they stand is appealing.			
attracting		Their style is unique and eye-catching.			
attracting		They have a warm and inviting presence.			
attracting		Others admire their charisma.			
attracting		They make a strong impression on everyone.			
punching		The person is throwing a punch.			
punching		They look angry.			
punching		The fight is about to start.			
punching		Their fist is raised.			
punching		The other person looks surprised.			
punching		This is a tense moment.			
punching		The background is blurry.			
punching		Their muscles are tense.			
punching		The expression shows determination.			
punching		This scene is intense and dramatic.			
prepared		The person is ready to work.			
prepared		They look prepared for anything.			
prepared		Their expression shows confidence.			
prepared		The tools are organized and ready.			
prepared		This person is focused on the task.			
prepared		They have a determined look.			
prepared		The environment is set for action.			
prepared		Preparation is key to success.			
prepared		They are eager to start.			
prepared		This is a great example of readiness.			
crucified		This person is on a cross.			
crucified		They are suffering for their beliefs.			
crucified		The cross is a symbol of sacrifice.			
crucified		Many people believe in their message.			
crucified		The scene is very emotional.			
crucified		This act shows great courage.			
crucified		They are surrounded by onlookers.			
crucified		Some people are sad to see this.			
crucified		Others may be angry or confused.			
crucified		This moment is part of a larger story.			
siccing		The person is leading the attack.			
siccing		They are shouting loudly.			
siccing		The dogs are ready to run.			
siccing		The crowd looks excited.			
siccing		People are following the leader.			
siccing		The atmosphere is tense.			
siccing		The leader points forward.			
siccing		The dogs bark aggressively.			
siccing		The crowd is getting riled up.			
siccing		It seems like a chaotic scene.			
smitten		I feel butterflies in my stomach.			
smitten		My heart races when I see you.			
smitten		Love makes me smile.			
smitten		I can’t stop thinking about you.			
smitten		You make my world brighter.			
smitten		I enjoy every moment with you.			
smitten		Your laughter is music to my ears.			
smitten		I am lost in your eyes.			
smitten		Love is a beautiful feeling.			
smitten		I want to share my life with you.			
rejected		The person looks sad and lonely.			
rejected		They feel rejected by others.			
rejected		There is a sense of abandonment in their expression.			
rejected		They seem like an outcast in this situation.			
rejected		The person is sitting by themselves.			
rejected		Their body language shows dejection.			
rejected		It feels like no one understands them.			
rejected		They long for connection and friendship.			
rejected		The environment feels isolating and cold.			
rejected		The person's eyes reflect their deep emotions.			
mauled by dog		The dog is very aggressive.			
mauled by dog		The person is in danger.			
mauled by dog		The dog is biting the person.			
mauled by dog		The person looks scared.			
mauled by dog		The scene is chaotic.			
mauled by dog		The dog has sharp teeth.			
mauled by dog		The person needs help.			
mauled by dog		The dog is growling loudly.			
mauled by dog		The person is trying to escape.			
mauled by dog		This is a serious situation.			
oppressing		This person is a dictator.			
oppressing		He suppresses dissenting opinions.			
oppressing		People are afraid.			
oppressing		He abuses power.			
oppressing		There is no freedom of the press.			
oppressing		Citizens are being monitored.			
oppressing		He punishes enemies.			
oppressing		People cannot resist.			
oppressing		He wants absolute control.			
oppressing		This regime is very oppressive.			
competing for		He has the ball.			
competing for		He is running.			
competing for		The ball is on the ground.			
competing for		He is playing soccer.			
competing for		He kicks the ball.			
competing for		He goes across the field.			
competing for		His teammates are there.			
competing for		He is moving quickly.			
competing for		The spectators are cheering.			
competing for		The game is in progress.			
whispering		He is whispering softly.			
whispering		She is sharing a secret.			
whispering		They are talking quietly.			
whispering		He is leaking confidential information.			
whispering		She is breaking a confidence.			
whispering		He has a secret to tell.			
whispering		She is leaning in to listen.			
whispering		They are exchanging whispers.			
whispering		He looks around before speaking.			
whispering		She wants to keep it private.			
suicidal		The person looks very sad.			
suicidal		They seem lost in thought.			
suicidal		Their expression shows despair.			
suicidal		It feels like they are giving up.			
suicidal		There is a sense of hopelessness.			
suicidal		They might be contemplating their life.			
suicidal		The scene feels heavy and somber.			
suicidal		It’s important to talk about feelings.			
suicidal		Help is available for those in need.			
suicidal		Life can be difficult, but there is always hope.			
introducing oneself		This person is introducing themselves.			
introducing oneself		What is your name?			
introducing oneself		I am from Korea.			
introducing oneself		I am twenty-five years old.			
introducing oneself		I am a student.			
introducing oneself		My hobby is reading.			
introducing oneself		I like music.			
introducing oneself		How many family members do you have?			
introducing oneself		What is your occupation?			
introducing oneself		Nice to meet you!			
cutting bread		This person is slicing bread.			
cutting bread		He is using a sharp knife.			
cutting bread		The bread looks freshly baked.			
cutting bread		He is making a sandwich.			
cutting bread		The pieces of bread are on the table.			
cutting bread		He carefully cuts the bread with the knife.			
cutting bread		He is making several pieces.			
cutting bread		This bread looks soft.			
cutting bread		What ingredients should we put in the sandwich?			
cutting bread		He is making delicious food.			
attacking		The person is attacking an enemy.			
attacking		They are brandishing a knife.			
attacking		The knife looks sharp and dangerous.			
attacking		The attack is sudden and fierce.			
attacking		The person appears very focused.			
attacking		They are moving quickly.			
attacking		The enemy looks surprised.			
attacking		The scene is intense and dramatic.			
attacking		The person is showing aggression.			
attacking		This action could lead to a fight.			
shouting		The person is shouting loudly.			
shouting		He is delivering a message to the people.			
shouting		Many people are listening to him.			
shouting		He is speaking passionately.			
shouting		His voice echoes through the streets.			
shouting		People are paying attention to what he says.			
shouting		He is trying to convey an important message.			
shouting		Many people are gathering around.			
shouting		His expression is very intense.			
shouting		This scene looks like a public speech.			
chewing carrots		The person is chewing.			
chewing carrots		They are eating carrots.			
chewing carrots		Carrots are orange.			
chewing carrots		The carrots are crunchy.			
chewing carrots		This is a healthy snack.			
chewing carrots		The person looks happy.			
chewing carrots		Chewing is good for digestion.			
chewing carrots		Carrots are good for your eyes.			
chewing carrots		The person is focused on eating.			
chewing carrots		Eating vegetables is important.			
towering		The person is very tall.			
towering		They are standing above everyone else.			
towering		It looks like they are on top of a mountain.			
towering		The view from up high is amazing.			
towering		They feel like a giant.			
towering		The others look small in comparison.			
towering		The person is smiling with joy.			
towering		This moment feels victorious.			
towering		They are reaching for the sky.			
towering		It’s a great achievement to be up there.			
holding parrot		The person is holding a parrot.			
holding parrot		The parrot is colorful.			
holding parrot		The parrot has green feathers.			
holding parrot		The person smiles at the parrot.			
holding parrot		The parrot is perched on the person's arm.			
holding parrot		The person looks happy.			
holding parrot		The parrot has a curved beak.			
holding parrot		The background is bright and sunny.			
holding parrot		The person is wearing a t-shirt.			
holding parrot		The parrot can talk.			
whirlwind		This person is smiling.			
whirlwind		They are wearing a blue shirt.			
whirlwind		The hair is long and brown.			
whirlwind		The person has glasses on.			
whirlwind		They are standing in a park.			
whirlwind		There are trees in the background.			
whirlwind		The sun is shining brightly.			
whirlwind		The person looks happy.			
whirlwind		They are holding a book.			
whirlwind		The shoes are white and casual.			
cooperative		Cooperation is important.			
cooperative		We can work together.			
cooperative		Let's join hands.			
cooperative		We should help each other.			
cooperative		Understanding strengthens relationships.			
cooperative		We can achieve more together.			
cooperative		Collaboration is the key to success.			
cooperative		Let's respect each other's opinions.			
cooperative		Teamwork gives us strength.			
cooperative		I feel the joy of being together.			
bullying		The person looks very angry.			
bullying		They are charging at someone.			
bullying		This person is acting like a bully.			
bullying		Bullying is not acceptable behavior.			
bullying		The expression on their face is fierce.			
bullying		They seem ready to confront someone.			
bullying		The body language shows aggression.			
bullying		It is important to stand up to bullies.			
bullying		People should treat each other with respect.			
bullying		This situation could lead to conflict.			
killing for		This person looks angry.			
killing for		They are holding a weapon.			
killing for		The background is chaotic.			
killing for		People are running away.			
killing for		There is a sense of fear.			
killing for		The expression is intense.			
killing for		The scene is very tense.			
killing for		The person seems determined.			
killing for		There is a lot of noise.			
killing for		This is a serious situation.			
toppled		The person is losing their position.			
toppled		They are being knocked off their perch.			
toppled		This scene shows a fall from power.			
toppled		The crowd looks surprised.			
toppled		Power can change quickly.			
toppled		Once strong, now they are weak.			
toppled		The person looks worried.			
toppled		Their reign is coming to an end.			
toppled		This is a moment of change.			
toppled		The balance of power is shifting.			
transporting		The person is in the driver's seat.			
transporting		They are holding the steering wheel.			
transporting		The vehicle is a car.			
transporting		The engine is running.			
transporting		The person looks focused.			
transporting		The door is closed.			
transporting		The seatbelt is fastened.			
transporting		The car is moving forward.			
transporting		There are trees outside the window.			
transporting		The driver is ready to go.			
gorgon		She has a terrifying gaze.			
gorgon		People are turning to stone.			
gorgon		Her hair is made of snakes.			
gorgon		The snakes are writhing and hissing.			
gorgon		Everyone is afraid of her.			
gorgon		She is a mythical creature.			
gorgon		Her name is Medusa.			
gorgon		Gorgons are known for their power.			
gorgon		She can freeze anyone with her look.			
gorgon		The scene is very dramatic.			
feeding		The person is nurturing a baby.			
feeding		The child is being fed.			
feeding		The caregiver is smiling at the baby.			
feeding		The baby looks happy.			
feeding		The caregiver holds the child gently.			
feeding		The baby is drinking milk.			
feeding		The caregiver sings a lullaby.			
feeding		The child is playing with a toy.			
feeding		The room is bright and cheerful.			
feeding		The caregiver loves the baby.			
walking away		The person is walking.			
walking away		He is exiting to the left.			
walking away		His steps are purposeful.			
walking away		He looks like he has a goal.			
walking away		The person does not look back.			
walking away		He walks with confidence.			
walking away		The surroundings are quiet.			
walking away		He is heading to a certain place.			
walking away		His clothes look comfortable.			
walking away		This scene represents determination.			
on soapbox		The person is standing on a soapbox.			
on soapbox		They are giving a speech to the crowd.			
on soapbox		People are listening attentively.			
on soapbox		The speaker looks passionate.			
on soapbox		The audience is engaged and curious.			
on soapbox		The speech is about an important topic.			
on soapbox		The person gestures with their hands.			
on soapbox		Some people are taking notes.			
on soapbox		Others are nodding in agreement.			
on soapbox		Public speaking can be inspiring.			
clapping		The person is clapping.			
clapping		They are applauding loudly.			
clapping		Their hands are together.			
clapping		Clapping shows appreciation.			
clapping		The crowd is cheering.			
clapping		They look very happy.			
clapping		Clapping is a sign of support.			
clapping		The applause is enthusiastic.			
clapping		The person is celebrating.			
clapping		Everyone is enjoying the moment.			
scared		The person looks very scared.			
scared		Their eyes are wide open.			
scared		They are shaking with fear.			
scared		Their hands are trembling.			
scared		The expression on their face shows terror.			
scared		They might be in danger.			
scared		The atmosphere feels tense.			
scared		The person is breathing quickly.			
scared		They want to escape.			
scared		It’s a frightening situation.			
haunting		The person is rising from the grave.			
haunting		It is a spooky scene.			
haunting		The sky is dark and cloudy.			
haunting		The graveyard is silent and eerie.			
haunting		The person looks ghostly and pale.			
haunting		There are many tombstones around.			
haunting		The atmosphere feels mysterious.			
haunting		The person is wearing old clothes.			
haunting		Shadows are cast on the ground.			
haunting		This scene is often seen in horror stories.			
enchanting		The person is enchanting the audience.			
enchanting		Magic fills the air around them.			
enchanting		A spell is being cast with a wave of their hand.			
enchanting		The colors swirl and dance in the light.			
enchanting		Everyone watches in amazement.			
enchanting		The atmosphere feels magical and mysterious.			
enchanting		They are performing a miracle right before our eyes.			
enchanting		The charm of the moment captivates us all.			
enchanting		Their eyes sparkle with excitement and power.			
enchanting		This scene feels like a page from a fairy tale.			
blowdrying		She is drying her hair with a blow dryer.			
blowdrying		She uses a blow dryer for styling.			
blowdrying		Her hair is soft and shiny.			
blowdrying		She is drying her hair evenly.			
blowdrying		The blow dryer is blowing strong air.			
blowdrying		She styles her hair by sectioning it.			
blowdrying		She is fixing her hair while looking in the mirror.			
blowdrying		Her hair looks beautiful after styling.			
blowdrying		A blow dryer helps to dry hair quickly.			
blowdrying		She has completed a great hairstyle.			
avenging angel		The person is seeking vengeance.			
avenging angel		He is looking for justice.			
avenging angel		She does not tolerate injustice.			
avenging angel		He is waiting for a chance for revenge.			
avenging angel		Anger fills her eyes.			
avenging angel		He does not forget his wounds.			
avenging angel		She wants to reveal the truth.			
avenging angel		He is fighting for justice.			
avenging angel		She wants to turn back the past.			
avenging angel		He is making plans for revenge.			
unaware		I feel like someone is watching me.			
unaware		There is a strange presence around me.			
unaware		I keep looking over my shoulder.			
unaware		My heart is racing with anxiety.			
unaware		I can't shake off this feeling.			
unaware		It's as if eyes are on me all the time.			
unaware		I feel uneasy in this place.			
unaware		I want to find a safe spot.			
unaware		I should be more aware of my surroundings.			
unaware		Is someone really following me?			
stepping down		The person is stepping down.			
stepping down		They are putting their best foot forward.			
stepping down		Their foot is touching the ground.			
stepping down		The step looks confident.			
stepping down		The person is moving forward.			
stepping down		They are balancing well.			
stepping down		The background is blurry.			
stepping down		The sun is shining brightly.			
stepping down		The person is smiling slightly.			
stepping down		This step shows determination.			
hesitant		The person looks unsure.			
hesitant		They are thinking carefully.			
hesitant		Their expression shows doubt.			
hesitant		They hesitate before making a choice.			
hesitant		The decision is difficult for them.			
hesitant		They are weighing their options.			
hesitant		The person seems to be conflicted.			
hesitant		They are not confident in their choice.			
hesitant		The situation makes them nervous.			
hesitant		They need more time to decide.			
pointing		He is pointing at the sky.			
pointing		She is looking up at the sky.			
pointing		The person is looking up.			
pointing		Many stars are visible.			
pointing		The sky is clear and blue.			
pointing		He points to the sky with his hand.			
pointing		She is searching for stars.			
pointing		They are admiring the night sky.			
pointing		There are no clouds in the sky.			
pointing		He is thinking about the universe.			
interrogating		The person is asking questions.			
interrogating		The suspect looks nervous.			
interrogating		There is a tense atmosphere.			
interrogating		The interrogator is focused.			
interrogating		The suspect is trying to explain.			
interrogating		The room is dimly lit.			
interrogating		The interrogator takes notes.			
interrogating		The suspect avoids eye contact.			
interrogating		The questions are direct and firm.			
interrogating		The truth is important in this situation.			
aching		The person is in pain.			
aching		He is taking a painkiller.			
aching		Painkillers relieve pain.			
aching		He is in the process of taking the medicine.			
aching		The pain is severe.			
aching		He waits after taking the medicine.			
aching		He hopes the pain will decrease.			
aching		He takes the medicine with water.			
aching		You should always see a doctor when you are in pain.			
aching		Health is important.			
rising from coffin		The person is rising from the coffin.			
rising from coffin		The coffin is open.			
rising from coffin		The person looks surprised.			
rising from coffin		There is a bright light around them.			
rising from coffin		The background is dark.			
rising from coffin		The person's clothes are old-fashioned.			
rising from coffin		The expression is one of shock.			
rising from coffin		The scene feels spooky.			
rising from coffin		The person is reaching out.			
rising from coffin		It looks like a scene from a movie.			
worshipped		This person is being worshipped like a god.			
worshipped		He is standing on a pedestal.			
worshipped		People are respecting him.			
worshipped		He looks like a divine being.			
worshipped		His expression is full of confidence.			
worshipped		The people around him are looking at him.			
worshipped		He is regarded as a special being.			
worshipped		His actions are dignified.			
worshipped		He seems to be blessed by the gods.			
worshipped		This image represents power and influence.			
gifting		The person is giving a gift.			
gifting		They are making origami.			
gifting		The origami is a unicorn.			
gifting		The gift looks very special.			
gifting		The person is generous.			
gifting		They have a hopeful expression.			
gifting		Origami requires patience.			
gifting		Gifts bring happiness.			
gifting		A unicorn symbolizes magic.			
gifting		Kindness is important in giving.			
tortoise		The person is crawling.			
tortoise		They move slowly.			
tortoise		It looks like a tortoise.			
tortoise		Their hands are on the ground.			
tortoise		The knees are bent.			
tortoise		The head is low.			
tortoise		They are on all fours.			
tortoise		The movement is careful.			
tortoise		Crawling can be fun.			
tortoise		Tortoises are slow animals.			
worried		The person is worried.			
worried		He is thinking about a problem.			
worried		Her face looks anxious.			
worried		He has a tense expression.			
worried		She is worried about something.			
worried		His eyes look serious.			
worried		She is clenching her hands.			
worried		He is taking a deep breath.			
worried		She is lost in thought.			
worried		He is looking at the situation with concern.			
thoughtful		He is thinking deeply.			
thoughtful		She looks thoughtful.			
thoughtful		He is considering his options.			
thoughtful		She is reflecting on the past.			
thoughtful		He is planning his next move.			
thoughtful		She seems lost in thought.			
thoughtful		He is pondering a decision.			
thoughtful		She is analyzing the situation.			
thoughtful		He is focused on what happened.			
thoughtful		She is weighing her choices.			
waving flag		The person is waving a flag.			
waving flag		The flag is white.			
waving flag		Waving a white flag means surrender.			
waving flag		The person looks calm.			
waving flag		The background is peaceful.			
waving flag		The flag is held high.			
waving flag		Waving symbolizes communication.			
waving flag		The person wants to show peace.			
waving flag		Flags have different meanings.			
waving flag		This is a sign of giving up.			
supporting		This person is offering support.			
supporting		They are showing kindness.			
supporting		A loyal friend is always there.			
supporting		Moral support is very important.			
supporting		Friends help each other in tough times.			
supporting		This gesture means a lot.			
supporting		They listen with empathy.			
supporting		Support can be a simple smile.			
supporting		Friendship brings comfort and strength.			
supporting		Being there for someone is a true gift.			
carrying fishbowl		The person is carrying a fishbowl.			
carrying fishbowl		The fishbowl has water in it.			
carrying fishbowl		There is a goldfish swimming inside.			
carrying fishbowl		The goldfish is orange and white.			
carrying fishbowl		The person looks happy with the fishbowl.			
carrying fishbowl		The fishbowl is round and clear.			
carrying fishbowl		The goldfish needs clean water.			
carrying fishbowl		The person cares for the goldfish.			
carrying fishbowl		Goldfish are popular pets.			
carrying fishbowl		The fishbowl is a nice home for the goldfish.			
foreboding		He is worried about the future.			
foreboding		He is afraid of tomorrow.			
foreboding		He is expecting the worst situation.			
foreboding		He is preparing for rain.			
foreboding		He thinks a storm will come.			
foreboding		His expression is pessimistic.			
foreboding		He has an anxious mind.			
foreboding		He cannot think positively.			
foreboding		He is worried that the situation will get worse.			
foreboding		He cannot enjoy today.			
casting off		The person is breaking the chain.			
casting off		They are freeing themselves from bondage.			
casting off		The heavy chain is falling away.			
casting off		This action symbolizes freedom.			
casting off		The person looks determined.			
casting off		Breaking chains represents overcoming obstacles.			
casting off		The background shows a bright sky.			
casting off		Light shines on the person’s face.			
casting off		Freedom brings happiness and hope.			
casting off		They are ready for a new beginning.			
negotiating for		The person is negotiating on behalf of someone else.			
negotiating for		They are discussing important terms.			
negotiating for		The atmosphere seems serious and focused.			
negotiating for		Body language shows confidence.			
negotiating for		They are listening carefully to the other party.			
negotiating for		Notes or documents may be present.			
negotiating for		Eye contact is important in negotiations.			
negotiating for		They may be seeking a fair agreement.			
negotiating for		The setting could be a conference room.			
negotiating for		Effective communication is key in negotiations.			
uncooperative		The person looks unhappy.			
uncooperative		They are crossing their arms.			
uncooperative		Their face shows frustration.			
uncooperative		They are turning away.			
uncooperative		The person is not listening.			
uncooperative		They refuse to make eye contact.			
uncooperative		Their body language is closed.			
uncooperative		They seem to ignore others.			
uncooperative		The person is shaking their head.			
uncooperative		They do not want to participate.			
summoning		This person is delivering the king's command.			
summoning		The king is summoning a subject.			
summoning		The person's expression is serious.			
summoning		The king is about to make an important decision.			
summoning		The subject prepares to kneel before the king.			
summoning		The king's command is very important.			
summoning		This scene shows authority and respect.			
summoning		The subject is waiting for the king's instructions.			
summoning		The king's summons has special significance.			
